위도,경도,교차로명,노드아이디,권역코드,Y좌표,X좌표
3728.9570000000,12716.8700000000,,2340043600,,224812.7912030000,442307.2609110000
3729.2950000000,12716.9700000000,,2340043500,,224951.2874720000,442933.2330380000
3729.4510000000,12716.9500000000,,2340043400,,224922.4134030000,443221.4607100000
3731.4590000000,12716.6530000000,,2270021800,,224468.6459380000,446936.9094510000
3731.5600000000,12716.5230000000,배알미교차로                  ,2270021700,,224276.4639480000,447123.2290670000
3727.8080000000,12719.5300000000,,2340043300,,228732.0653050000,440194.6788460000
3728.2260000000,12718.6240000000,,2340043200,,227392.2003250000,440964.5713700000
3728.0690000000,12716.3590000000,도마삼거리                    ,2340043100,,224050.6396330000,440664.6312390000
3727.0310000000,12715.7450000000,,2340043000,,223151.2705290000,438738.0385550000
3726.9980000000,12715.6680000000,,2340042900,,223042.5235100000,438681.8812050000
3726.8290000000,12715.8270000000,,2340042800,,223164.5368760000,438442.8040010000
3726.9050000000,12715.6440000000,,2340042700,,223066.7831740000,438482.6699440000
3728.3200000000,12718.6660000000,도수1교                       ,2340042600,,227453.1618700000,441138.7243560000
3727.6250000000,12719.7560000000,,2340042500,,229064.7445980000,439857.7336430000
3727.3300000000,12720.1250000000,,2340042400,,229611.1142460000,439314.5307150000
3727.2770000000,12720.2110000000,관음1교                       ,2340042300,,229738.2060200000,439217.3525790000
3726.6550000000,12721.0300000000,,2340042200,,230950.6870110000,438071.1830240000
3725.6130000000,12722.2430000000,,2340042100,,232746.7223120000,436149.5711350000
3725.6050000000,12722.3080000000,,2340042000,,232842.8166650000,436135.1576420000
3725.5430000000,12722.5100000000,,2340041900,,233140.6832720000,436021.5036430000
3725.5280000000,12722.5800000000,,2340041800,,233245.2465980000,435993.1888840000
3728.0580000000,12728.4500000000,,2400001300,,241878.0249620000,440712.2466110000
3727.1650000000,12718.3560000000,,2340041700,,227003.0362810000,439000.8943220000
3726.2070000000,12718.9440000000,,2340041600,,227876.4665250000,437230.1552800000
3726.1800000000,12718.9470000000,,2340041500,,227880.9780740000,437182.7192750000
3725.6090000000,12718.6080000000,,2340041400,,227385.0470540000,436122.8468700000
3726.7490000000,12715.9050000000,,2340041300,,223390.2440650000,438220.9368660000
3726.1900000000,12718.9700000000,,2340041200,,227921.1463960000,437199.3581480000
3726.7320000000,12715.9010000000,경안TG앞                      ,2340041100,,223385.3864740000,438188.8789400000
3726.2870000000,12717.1420000000,,2340041000,,225212.7317600000,437370.6926440000
3726.3650000000,12717.4690000000,,2340040900,,225699.3445960000,437518.4131350000
3726.3020000000,12717.6810000000,,2340040800,,226018.2137590000,437398.6633030000
3726.3060000000,12717.7280000000,,2340040700,,227157.0511480000,437188.5160210000
3725.5480000000,12718.5820000000,,2340040600,,227345.8231570000,436011.2157790000
3725.2820000000,12719.0720000000,,2340040500,,228070.6424310000,435521.5258800000
3725.2530000000,12719.2500000000,,2340040400,,228340.0139480000,435466.6022570000
3725.2890000000,12719.3490000000,,2340040300,,228478.7917890000,435535.0024750000
3725.2860000000,12719.4110000000,,2340040200,,228570.2582700000,435529.1246510000
3726.1770000000,12718.4700000000,,2340040100,,227185.0652320000,437171.6491340000
3726.1260000000,12718.4870000000,,2340040000,,227204.0560600000,437079.7330210000
3725.8800000000,12718.4740000000,,2340039900,,227173.8520440000,436608.5433760000
3725.6400000000,12718.5230000000,,2340039800,,227258.2060420000,436180.1437150000
3725.6140000000,12718.5490000000,,2340039700,,227296.9920180000,436132.9063200000
